date and time now = 24/02/2021 15:03:08
Ticker      24H Total    Prev    Recent    Change    Rockets    wallstreetbets    wallstreetbetsELITE    stocks    investing    SatoshiStreetBets    pennystocks    RobinHoodPennyStocks    StockMarket    Daytrading     Price    1DayChange%    50DayChange%    ChangeVol%  Float Shares    Industry                                Short/Float%
NVDA              300     290        10      -280         12               293                      0         0            0                    0              0                       0              1             6   573.720          1.421           4.185        -6.125  593441490       Semiconductors                          0.0112
BEST              298     286        12      -274          0                 0                      0        41            0                    0              0                      12              0           245     2.435         -0.612           3.864       -80.196  184980438       Trucking                                N/A
TLRY              294     139       155        16          5                74                     40         2            0                    0              0                      97             19            62    26.720          7.785          18.768       -53.706  143625496       Drug Manufacturers—Specialty & Generic  0.2045
UTHR              288     288         0      -288          0                 0                      0       178            0                    0              0                       0            110             0   175.675          1.911           5.077        -9.208  37190950        Biotechnology                           0.045100003
CRWD              288     288         0      -288          0                 0                      0       178            0                    0              0                       0            110             0   216.668         -0.788          -2.933       -27.446  184401200       Software—Infrastructure                 0.056799997
EPAM              288     288         0      -288          0                 0                      0       178            0                    0              0                       0            110             0   369.000         -0.708           2.009       -59.592  54147025        Information Technology Services         0.0124
JMP               288     288         0      -288          0                 0                      0       178            0                    0              0                       0            110             0     6.055         14.030          38.233       -27.653  6283919         Capital Markets                         0.0032
EOLS              288     288         0      -288          0                 0                      0       178            0                    0              0                       0            110             0    11.365         15.264          76.653        -2.430  24469878        Drug Manufacturers—Specialty & Generic  0.1619
PSTG              288     288         0      -288          0                 0                      0       178            0                    0              0                       0            110             0    25.515         -0.215           2.490       -33.889  253577814       Computer Hardware                       0.0625
DRIP              287       0       287       287          0               287                      0         0            0                    0              0                       0              0             0    11.270         -8.523         -37.103       119.270  N/A             N/A                                     N/A
GOOD              283      17       266       249         13                 1                    273         0            0                    0              0                       0              9             0    18.930         -0.053           3.067       -11.720  32880173        REIT—Diversified                        0.0099
BGI               279     251        28      -223          0                 0                      0         0            0                    0            279                       0              0             0     2.090          7.727          29.689       -53.149  4275632         Luxury Goods                            0.0156
FUBO              276      79       197       118         36               152                     40         7            0                    0              0                      77              0             0    38.110         -2.107          -3.591       -66.912  53294298        Broadcasting                            0.214
SSFT              272     252        20      -232          0                 0                      0         0            0                    0            272                       0              0             0     0.300          0.334          73.923       -34.472  N/A             Information Technology Services         N/A
APHA              271      79       192       113          0                51                     42         0            0                    0              0                      97             19            62    19.610          8.583          36.142       -30.067  312634213       Drug Manufacturers—Specialty & Generic  N/A
HPNN              271     251        20      -231          0                 0                      0         0            0                    0            271                       0              0             0     0.010         -9.735         235.684        -8.818  N/A             Communication Equipment                 N/A
HITI.V            266       0       266       266          0                 0                      0         0            0                    0            266                       0              0             0     0.760         -2.564           0.000         0.000  198900007       Pharmaceutical Retailers                N/A
