date and time now = 21/02/2021 18:31:18
Ticker      24H Total    Recent    Prev    Change    Rockets    wallstreetbets    wallstreetbetsELITE    stocks    investing    SatoshiStreetBets    pennystocks    RobinHoodPennyStocks    StockMarket    Daytrading     Price    1DayChange%    50DayChange%    ChangeVol%  Float Shares    Industry                                Short/Float%
TSNP              139       104      35        69          0                10                      0         0            0                    0            129                       0              0             0     1.070         36.306          73.784       -23.327  N/A             Furnishings, Fixtures & Appliances      N/A
EVGN              138         0     138      -138          0                 5                      0       133            0                    0              0                       0              0             0     8.420          3.822          22.741       -45.962  28815380        Biotechnology                           0.051599998
AABB              136       116      20        96          1                30                      0         0            0                    0            101                       0              5             0     0.314          4.284         494.230        56.726  N/A             Other Industrial Metals & Mining        N/A
WKHS              133         0     133      -133          0                 0                      0       133            0                    0              0                       0              0             0    32.960          5.573           7.666       -38.346  112469372       Auto Manufacturers                      0.2209
PACB              133         0     133      -133          0                 0                      0       133            0                    0              0                       0              0             0    43.030          0.679          15.903       -21.751  184242156       Diagnostics & Research                  0.0733
SPT               133         0     133      -133          0                 0                      0       133            0                    0              0                       0              0             0    78.370          2.444          22.058        59.754  36058949        Software—Application                    0.066300005
MWK               133         0     133      -133          0                 0                      0       133            0                    0              0                       0              0             0    43.450         -4.105          48.959        -4.887  8528336         Consumer Electronics                    0.1013
PSNL              133         0     133      -133          0                 0                      0       133            0                    0              0                       0              0             0    38.760          0.415          -4.636       -36.323  25354600        Diagnostics & Research                  0.0681
ARCT              133         0     133      -133          0                 0                      0       133            0                    0              0                       0              0             0    66.980          3.492          -3.651       -59.534  19951087        Biotechnology                           0.1524
RAVN              133         0     133      -133          0                 0                      0       133            0                    0              0                       0              0             0    41.160          2.797          13.833        24.572  35346778        Specialty Industrial Machinery          0.028900001
